"query","search interest","increase percent"
"coffee machine",100,"10 %"
"iced coffee",86,"30 %"
"coffee shop",79,"-10 %"
"more",77,"60 %"
"more coffee",76,"60 %"
"coffee table",75,"-10 %"
"black coffee",69,"-10 %"
"protein coffee",55,"50 %"
"iced coffee more",49,"100 %"
"more iced coffee",48,"90 %"
"no coffee",41,"0 %"
"coffee fellows",37,"60 %"
"specialty coffee",36,"20 %"
"coffee near me",32,"-60 %"
"coffee bar",31,"-10 %"
"protein iced coffee",26,"70 %"
"lab coffee",25,"20 %"
"coffee lab",25,"20 %"
"iced coffee protein",25,"70 %"
"more protein",24,"70 %"
"coffee grinder",24,"-50 %"
"lap coffee",23,"30 %"
"coffee to go",20,"10 %"
"more protein iced coffee",19,"60 %"
"protein iced coffee more",18,"60 %"
"cotti coffee",16,"-50 %"
"instant coffee",16,"10 %"
"base coffee",15,"-10 %"
"coffee table book",14,"20 %"
"coffee 2.0",14,"-6 %"
"coffee mug",13,"-80 %"
"coffee circle",13,"7 %"
"irish coffee",13,"10 %"
"rootery coffee",12,"3.450 %"
"coffee perfect",12,"-30 %"
"drip coffee",12,"7 %"
"turkish coffee",12,"-20 %"
"coffee bike",12,"-20 %"
"the coffee table",11,"-40 %"
"kaffeemaschine",11,"70 %"
"copenhagen coffee lab",11,"50 %"
"costa coffee",11,"-10 %"
"coffee friend",10,"-8 %"
"cars and coffee",10,"70 %"
"more nutrition",9,"60 %"
"black coffee nürnberg",9,"70 %"
"coffee b maschine",8,"250 %"
"pocket coffee",7,"-20 %"
"coffee balls",7,"70 %"
"delonghi coffee machine",7,"-10 %"